Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,pdc
BFO,bse_fo,APLAPOLLO,834566,SO,CE,1620,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1620CE,APLAPOLLO 27AUG26 1620 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,834230,SO,CE,1640,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1640CE,APLAPOLLO 27AUG26 1640 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,833772,SO,CE,1660,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1660CE,APLAPOLLO 27AUG26 1660 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,834294,SO,CE,1680,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1680CE,APLAPOLLO 27AUG26 1680 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,832489,SO,CE,1700,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1700CE,APLAPOLLO 27AUG26 1700 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,827995,SO,CE,1720,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1720CE,APLAPOLLO 27AUG26 1720 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,824231,SO,CE,1740,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1740CE,APLAPOLLO 27AUG26 1740 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,828481,SO,CE,1760,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1760CE,APLAPOLLO 27AUG26 1760 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,824729,SO,CE,1780,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1780CE,APLAPOLLO 27AUG26 1780 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,830271,SO,CE,1800,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1800CE,APLAPOLLO 27AUG26 1800 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,826016,SO,CE,1820,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1820CE,APLAPOLLO 27AUG26 1820 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,830776,SO,CE,1840,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1840CE,APLAPOLLO 27AUG26 1840 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,826539,SO,CE,1860,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1860CE,APLAPOLLO 27AUG26 1860 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,831278,SO,CE,1880,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1880CE,APLAPOLLO 27AUG26 1880 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,827787,SO,CE,1900,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1900CE,APLAPOLLO 27AUG26 1900 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,824002,SO,CE,1920,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1920CE,APLAPOLLO 27AUG26 1920 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,824713,SO,CE,1940,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1940CE,APLAPOLLO 27AUG26 1940 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,828989,SO,CE,1960,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1960CE,APLAPOLLO 27AUG26 1960 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,825235,SO,CE,1980,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1980CE,APLAPOLLO 27AUG26 1980 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,828880,SO,CE,2000,APL APOLLO TUBES LTD.,APLAPOLLO26AUG2000CE,APLAPOLLO 27AUG26 2000 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,840794,SO,CE,2020,APL APOLLO TUBES LTD.,APLAPOLLO26AUG2020CE,APLAPOLLO 27AUG26 2020 CE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,834660,SO,PE,1620,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1620PE,APLAPOLLO 27AUG26 1620 PE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,833436,SO,PE,1640,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1640PE,APLAPOLLO 27AUG26 1640 PE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,833994,SO,PE,1660,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1660PE,APLAPOLLO 27AUG26 1660 PE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,833501,SO,PE,1680,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1680PE,APLAPOLLO 27AUG26 1680 PE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,832709,SO,PE,1700,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1700PE,APLAPOLLO 27AUG26 1700 PE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,830332,SO,PE,1720,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1720PE,APLAPOLLO 27AUG26 1720 PE,2026-08-27,350,0.05,
BFO,bse_fo,APLAPOLLO,826092,SO,PE,1740,APL APOLLO TUBES LTD.,APLAPOLLO26AUG1740PE,APLAPOLLO 27AUG26 1740 PE,2026-08-27,350,0.05,
