Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,ADANIPORTS,35088,OPTSTK,CE,2040,ADANI PORT & SEZ LTD,ADANIPORTS JUL 2040 CE,ADANIPORTS28JUL26C2040,2026-07-28,475,0.05
NFO,nse_fo,ADANIPORTS,35089,OPTSTK,PE,2040,ADANI PORT & SEZ LTD,ADANIPORTS JUL 2040 PE,ADANIPORTS28JUL26P2040,2026-07-28,475,0.05
NFO,nse_fo,AMBER,35136,OPTSTK,CE,6200,AMBER ENTERPRISES (I) LTD,AMBER JUL 6200 CE,AMBER28JUL26C6200,2026-07-28,100,0.05
NFO,nse_fo,AMBER,35137,OPTSTK,PE,6200,AMBER ENTERPRISES (I) LTD,AMBER JUL 6200 PE,AMBER28JUL26P6200,2026-07-28,100,0.05
NFO,nse_fo,BAJFINANCE,35188,OPTSTK,CE,1180,BAJAJ FINANCE LIMITED,BAJFINANCE JUL 1180 CE,BAJFINANCE28JUL26C1180,2026-07-28,750,0.05
NFO,nse_fo,BAJFINANCE,35189,OPTSTK,PE,1180,BAJAJ FINANCE LIMITED,BAJFINANCE JUL 1180 PE,BAJFINANCE28JUL26P1180,2026-07-28,750,0.05
NFO,nse_fo,BANDHANBNK,35232,OPTSTK,CE,245,BANDHAN BANK LIMITED,BANDHANBNK JUL 245 CE,BANDHANBNK28JUL26C245,2026-07-28,3600,0.01
NFO,nse_fo,BANDHANBNK,35233,OPTSTK,PE,245,BANDHAN BANK LIMITED,BANDHANBNK JUL 245 PE,BANDHANBNK28JUL26P245,2026-07-28,3600,0.01
NFO,nse_fo,NIFTY,35235,OPTIDX,CE,30000,NIFTY,NIFTY 29th DEC 30000 CE,NIFTY29DEC26C30000,2026-12-29,65,0.05
NFO,nse_fo,NIFTY,35237,OPTIDX,PE,30000,NIFTY,NIFTY 29th DEC 30000 PE,NIFTY29DEC26P30000,2026-12-29,65,0.05
NFO,nse_fo,NIFTY,35262,OPTIDX,CE,30000,NIFTY,NIFTY 29th JUN27 30000 CE,NIFTY29JUN27C30000,2027-06-29,65,0.05
NFO,nse_fo,NIFTY,35263,OPTIDX,PE,30000,NIFTY,NIFTY 29th JUN27 30000 PE,NIFTY29JUN27P30000,2027-06-29,65,0.05
NFO,nse_fo,ADANIENSOL,35285,OPTSTK,CE,1780,ADANI ENERGY SOLUTION LTD,ADANIENSOL JUL 1780 CE,ADANIENSOL28JUL26C1780,2026-07-28,675,0.05
NFO,nse_fo,ADANIENSOL,35286,OPTSTK,PE,1780,ADANI ENERGY SOLUTION LTD,ADANIENSOL JUL 1780 PE,ADANIENSOL28JUL26P1780,2026-07-28,675,0.05
NFO,nse_fo,ADANIENSOL,35298,OPTSTK,CE,1820,ADANI ENERGY SOLUTION LTD,ADANIENSOL JUL 1820 CE,ADANIENSOL28JUL26C1820,2026-07-28,675,0.05
NFO,nse_fo,ADANIENSOL,35299,OPTSTK,PE,1820,ADANI ENERGY SOLUTION LTD,ADANIENSOL JUL 1820 PE,ADANIENSOL28JUL26P1820,2026-07-28,675,0.05
