Tick received: sym=RELIANCE, ltp=1288.6
Tick received: sym=HDFCBANK, ltp=753.15
Tick received: sym=ICICIBANK, ltp=1440.7
Tick received: sym=INFY, ltp=1052.1
Tick received: sym=TCS, ltp=2208.3
Tick received: sym=BHARTIARTL, ltp=1949.0
Tick received: sym=ITC, ltp=280.8
Tick received: sym=LT, ltp=3817.4
Tick received: sym=KOTAKBANK, ltp=381.15
Tick received: sym=AXISBANK, ltp=1238.4
Tick received: sym=SBIN, ltp=1025.0
Tick received: sym=BAJFINANCE, ltp=1060.3
Tick received: sym=HINDUNILVR, ltp=2154.6
Tick received: sym=ASIANPAINT, ltp=2692.8
Tick received: sym=MARUTI, ltp=13545.0
Tick received: sym=HCLTECH, ltp=1237.3
Tick received: sym=SUNPHARMA, ltp=1943.0
Tick received: sym=TITAN, ltp=4711.6
Tick received: sym=ULTRACEMCO, ltp=11893.0
Tick received: sym=WIPRO, ltp=174.44
Tick received: sym=M&M, ltp=3175.3
Tick received: sym=NESTLEIND, ltp=1493.6
Tick received: sym=POWERGRID, ltp=289.3
Tick received: sym=NTPC, ltp=350.5
Tick received: sym=ONGC, ltp=251.9
Tick received: sym=TATAMOTORS, ltp=327.7
Tick received: sym=TATASTEEL, ltp=186.53
Tick received: sym=JSWSTEEL, ltp=1266.9
Tick received: sym=ADANIENT, ltp=3147.7
Tick received: sym=ADANIPORTS, ltp=1819.4
Tick received: sym=BAJAJFINSV, ltp=1876.4
Tick received: sym=BAJAJ-AUTO, ltp=10998.5
Tick received: sym=HEROMOTOCO, ltp=4987.1
Tick received: sym=EICHERMOT, ltp=7632.0
Tick received: sym=GRASIM, ltp=3166.3
Tick received: sym=DRREDDY, ltp=1182.8
Tick received: sym=CIPLA, ltp=1415.1
Tick received: sym=DIVISLAB, ltp=7386.5
Tick received: sym=APOLLOHOSP, ltp=8938.0
Tick received: sym=BRITANNIA, ltp=5485.5
Tick received: sym=COALINDIA, ltp=428.4
Tick received: sym=BPCL, ltp=314.0
Tick received: sym=IOC, ltp=142.03
Tick received: sym=HDFCLIFE, ltp=553.1
Tick received: sym=SBILIFE, ltp=1806.7
Tick received: sym=TECHM, ltp=1560.6
Tick received: sym=INDUSINDBK, ltp=1069.3
Tick received: sym=UPL, ltp=608.85
Tick received: sym=TATACONSUM, ltp=1094.9
Tick received: sym=LTIM, ltp=3982.4
Tick received: sym=NIFTY, ltp=23996.25
Tick received: sym=BANKNIFTY, ltp=57126.8
Tick received: sym=FINNIFTY, ltp=26188.85
Tick received: sym=MIDCPNIFTY, ltp=14626.35
Tick received: sym=SENSEX, ltp=76755.05
Tick received: sym=NIFTYNXT50, ltp=72296.65
Tick received: sym=BANKNIFTY, ltp=0.0
Tick received: sym=NIFTYNXT50, ltp=0.0
Tick received: sym=MIDCPNIFTY, ltp=0.0
Tick received: sym=BANKNIFTY, ltp=0.0
Tick received: sym=NIFTYNXT50, ltp=0.0
Tick received: sym=MIDCPNIFTY, ltp=0.0
Tick received: sym=BANKNIFTY, ltp=0.0
Tick received: sym=NIFTYNXT50, ltp=0.0
Tick received: sym=MIDCPNIFTY, ltp=0.0
Tick received: sym=NIFTY, ltp=0.0
Tick received: sym=FINNIFTY, ltp=0.0
Tick received: sym=NIFTY, ltp=0.0
Tick received: sym=FINNIFTY, ltp=0.0
Tick received: sym=BANKNIFTY, ltp=0.0
Tick received: sym=NIFTYNXT50, ltp=0.0
Tick received: sym=MIDCPNIFTY, ltp=0.0
Tick received: sym=NIFTY, ltp=0.0
Tick received: sym=FINNIFTY, ltp=0.0
Tick received: sym=NIFTY, ltp=0.0
Tick received: sym=FINNIFTY, ltp=0.0
Tick received: sym=NIFTY, ltp=0.0
